,Site Name,Upper Age (IntCal20),Lower Age (IntCal20),Stratigraphy (CARD),Context (CARD),Unit Name (Neotoma),Original Age Type,Latitude,Longitude,Citation 1,Citation 2,Citation 3,Citation 4,Citation 5,Citation 6,Citation 7,Citation 8,Citation 9,Citation 10,Citation 11,Citation 12,Citation 13,Data Source
1,10BV93,4884,4764,NA,Feature 1,NA,Radiocarbon years BP,43.379542,-111.601604,Gough 1990:62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
2,10TF?,3406,3366,NA,NA,NA,Radiocarbon years BP,42.35332,-114.661919,Goebel 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
3,13WD405,2245,1535,NA,NA,Assemblage,Radiocarbon years BP,42.5,-96.366667,"Brown, M. E., and K. L. Brown. n.d. Test excavations at site 13WD405, Woodbury County, northwestern Iowa. University of Iowa, Office of the State Archaeologist, Iowa City.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
4,14RW2,10401,10351,NA,"""south gully"" of Late Paleoindian Bison Bone bed",NA,Radiocarbon years BP,39.789524,-101.073866,Murphy and Mandel 2012- The Burntwood Creek Rockshelter Record…,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
5,14RW2,10050,10000,NA,"""south gully"" of Late Paleoindian Bison Bone bed",NA,Radiocarbon years BP,39.789524,-101.073866,Murphy and Mandel 2012- The Burntwood Creek Rockshelter Record…,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
6,14SC304,139,89,NA,NA,NA,Radiocarbon years BP,38.481884,-100.905893,Hill and Trabert 2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
7,14SC409,135,85,NA,NA,NA,Radiocarbon years BP,38.481884,-100.905893,Trabert et al. 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
8,14SC409,134,84,NA,NA,NA,Radiocarbon years BP,38.481884,-100.905893,Trabert et al. 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
9,21CR162,5770,5710,NA,"XU 4, 140-150 cmbd",NA,Radiocarbon years BP,44.820517,-93.798077,"Florin et al. 2016, Phase I Archaeological Survey and Phase Ii Evaluation of sites 21CR161 and 21CR162…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
10,21PL49,6512,6412,NA,animal processing area,NA,Radiocarbon years BP,47.774622,-96.399564,Minnesota state database,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
